	Unnamed: 0	imdbid	title	clip_name	year	videoid	genre
17	24400	tt0800039	Forgetting Sarah Marshall	Ruining Sarah's Day	2008.0	FMFJli50jdY	['Comedy', 'Drama', 'Romance']
18	14666	tt0119822	As Good as It Gets	Verdell the Dog	1997.0	itIDxKxfGJI	['Comedy', 'Drama', 'Romance']
19	21130	tt0094226	The Untouchables	Knife to a Gunfight	1987.0	_d5jXDvrOu4	['Crime', 'Drama', 'Thriller']
20	18646	tt0272020	The Last Castle	It's Over Now	2001.0	j0sbjGj7ONo	['Action', 'Drama', 'Thriller']
21	3084	tt0093713	Pelle the Conqueror	Erik's Fate Scene	1987.0	ObCiRECeCdM	['Drama']
22	8221	tt0113161	Get Shorty	Chili Surprises Harry	1995.0	VNUBj_27Z-A	['Comedy', 'Crime', 'Thriller']
23	7611	tt0087365	Greystoke: Legend of Tarzan	Razor and Mirror	1984.0	_AmKz3iZ1K8	['Adventure', 'Drama']
24	14828	tt0758774	Body of Lies	The Brothers of Awareness	2008.0	WkFdij3Wr9M	['Action', 'Drama', 'Thriller']
25	14624	tt1259571	Twilight: New Moon	Paper Cut	2009.0	lkMilWJJR_U	['Adventure', 'Drama', 'Fantasy']
26	23587	tt0127536	Elizabeth	The Virgin Queen	1998.0	9mnLbhHR6-g	['Biography', 'Drama', 'History']
27	25096	tt1423894	Barney's Version	Irretrievably in Love	2010.0	ECoL3IaXgRI	['Comedy', 'Drama']
28	19746	tt0079945	Star Trek: The Motion Picture	Kirk Needs Bones	1979.0	Rn2-wALgmMk	['Adventure', 'Mystery', 'Sci-Fi']
29	1562	tt1205537	Jack Ryan: Shadow Recruit	Lightbulb Torture Scene	2014.0	GQYCNF_zoDM	['Action', 'Drama', 'Thriller']
30	3863	tt0155267	The Thomas Crown Affair	Do You Wanna Dance? Scene	1999.0	yCrq5v5cg1A	['Crime', 'Romance', 'Thriller']
31	8128	tt0082332	Enter the Ninja	9 Levels of Power Scene	1981.0	-IIHYIZSFbk	['Action', 'Crime', 'Drama']
32	4408	tt0099399	Delta Force 2	I Was Just in the Neighborhood Scene	1990.0	nqK7Kk3ZKvY	['Action', 'Adventure', 'Crime']
33	7423	tt0089907	The Return of the Living Dead	245-Trioxin	1985.0	8mZEPgvvd4I	['Comedy', 'Horror', 'Sci-Fi']
34	10610	tt0079817	Rocky II	Kentucky Fried Idiot	1979.0	eM3CovgD8Bo	['Drama', 'Sport']
35	22003	tt0110588	Mrs. Parker and the Vicious Circle	The Circle Is Formed	1994.0	YlpN0wDqUx4	['Biography', 'Drama']
36	17710	tt0107387	Leprechaun	Eye for an Eye	1993.0	W8Iw5W2_bbM	['Comedy', 'Fantasy', 'Horror']
37	17464	tt0469623	Things We Lost in the Fire	You Are Beautiful	2007.0	p6LXVK9rPbw	['Drama']
38	12098	tt1045658	Silver Linings Playbook	Poor Social Skills	2012.0	4EYZfAO5ZWs	['Comedy', 'Drama', 'Romance']
39	1372	tt0077504	The End	Straitjacket Surprise Scene	1978.0	tDD6wnNN-IQ	['Comedy', 'Drama']
40	14294	tt0055798	Birdman of Alcatraz	Learning to Fly	1962.0	3SAElnJHcNc	['Biography', 'Crime', 'Drama']
41	3481	tt0095925	Pumpkinhead	Death of a Child Scene	1988.0	ALYPTuyCxqI	['Fantasy', 'Horror']
42	26475	tt1161864	The Rite	Loss of Faith	2011.0	zCv0AZeyCaQ	['Drama', 'Horror', 'Mystery']
43	1437	tt0096118	Sleepaway Camp 2: Unhappy Campers	Angela's Nightmare Scene	1988.0	njz1p35e_EU	['Comedy', 'Horror']
44	1363	tt0427152	Dinner for Schmucks	From Beyond the Plate Scene	2010.0	-7-2-088LnM	['Comedy']
45	3952	tt1285016	The Social Network	I Deserve Some Recognition	2010.0	6bahX2rrT1I	['Biography', 'Drama']
46	4271	tt0102303	Life Stinks	A Sh**load of Money Scene	1991.0	k6u3YvvvgjQ	['Comedy']
47	17144	tt0040823	Sorry, Wrong Number	A Controlling Father-in-Law	1948.0	ZSKSNo2z8AM	['Drama', 'Film-Noir', 'Mystery']
48	6347	tt0091167	Hannah and Her Sisters	Converting to Catholicism	1986.0	9VLcxXz-0w4	['Comedy', 'Drama']
49	7688	tt1229238	Mission: Impossible Ghost Protocol	Sandstorm Chase Scene	2011.0	J4me49IF70k	['Action', 'Adventure', 'Thriller']
50	2233	tt1322312	Going the Distance	Are You Introducing Yourself?	2010.0	mm93ELyLN1w	['Comedy', 'Romance']
51	1059	tt0264734	Joseph: King of Dreams	Seven Years of Harvest Scene	2000.0	aG8bSNpEGoE	['Animation', 'Adventure', 'Biography']
52	7644	tt1356864	I'm Still Here	My Last Acting Thing	2010.0	MvFkGlAqYYc	['Comedy', 'Drama', 'Music']
53	4355	tt1135503	Julie & Julia	Bon Appetit Scene	2009.0	isFVKJA4E-k	['Biography', 'Drama', 'Romance']
54	9528	tt0838221	The Darjeeling Limited	I'm Gonna Mace You in the Face!	2007.0	Wy6ANzdhy1s	['Adventure', 'Comedy', 'Drama']
55	4505	tt0089118	F/X	Escape From the Morgue Scene	1986.0	hE5rsmIsYPA	['Action', 'Thriller']
56	5205	tt0942903	Stargate: The Ark of Truth	A True God By Any Definition Scene	2008.0	eRITzdlHJXA	['Action', 'Adventure', 'Drama']
57	11431	tt1596343	Fast Five	Favela Chase	2011.0	vmm8P0V1W4g	['Action', 'Adventure', 'Thriller']
58	17167	tt0117731	Star Trek: First Contact	First Contact with Earth	1996.0	5Z8LHf9J6PQ	['Action', 'Adventure', 'Drama']
59	21111	tt0317919	Mission: Impossible 3	Count to Ten Scene	2006.0	QLNUIU7AzTg	['Action', 'Adventure', 'Thriller']
60	8417	tt0780622	Teeth	Champagne Seduction	2007.0	E9paF0XzmtA	['Comedy', 'Fantasy', 'Horror']
61	25921	tt0020629	All Quiet on the Western Front	The Charge	1930.0	Ciq9ts02ci4	['Drama', 'War']
62	19930	tt0377109	The Ring Two	I Found You	2005.0	bxAiioYl1bw	['Horror', 'Mystery']
63	8699	tt1408253	Ride Along	A Hostile Situation	2014.0	A0R1F_FhwRg	['Action', 'Comedy', 'Crime']
64	17253	tt0298814	The Core	Rome Destroyed	2003.0	Qz836czauEk	['Action', 'Adventure', 'Sci-Fi']
65	15063	tt0107048	Groundhog Day	... Again	1993.0	hQCG2AwzTxA	['Comedy', 'Fantasy', 'Romance']
66	24146	tt0463034	You, Me and Dupree	Office Smoke Signals	2006.0	q4RbzjuXB6E	['Comedy', 'Romance']
67	9999	tt0103074	Thelma & Louise	Telling Off Darryl	1991.0	GeqKdTZugxs	['Adventure', 'Crime', 'Drama']
68	21968	tt0300051	Jersey Girl	I'm Just Your Dad	2004.0	LMU895wYEDI	['Comedy', 'Drama', 'Romance']
69	16733	tt0102011	He Said, She Said	Only You	1991.0	JrPj-b18Lt4	['Comedy', 'Drama', 'Romance']
70	6295	tt0296572	The Chronicles of Riddick	You Keep What You Kill Scene	-1.0	yX5TsLuIEy8	['Action', 'Adventure', 'Sci-Fi']
71	25493	tt0115783	Bulletproof	Time to Roll	1996.0	3nydBUSR08o	['Action', 'Comedy', 'Crime']
72	10030	tt0080745	Flash Gordon	Football Fight	1980.0	qjFCVTpsIps	['Action', 'Adventure', 'Sci-Fi']
73	14619	tt1259571	Twilight: New Moon	Bella's Bedroom	2009.0	JhE3o7EwmEI	['Adventure', 'Drama', 'Fantasy']
74	16165	tt0037536	The Bells of St. Mary's	Aren't You Glad You're You?	1945.0	LN1WX6JkYaI	['Drama']
75	400	tt0155711	Flawless	He's My Sister Scene	1999.0	FbY1BfonRu4	['Comedy', 'Crime', 'Drama']
76	8085	tt0120654	Dirty Work	Release the Skunks!	1998.0	9z5YYwpysWs	['Comedy']
77	26499	tt0040068	Abbott and Costello Meet Frankenstein	Take the Mask Off	1948.0	_KpSBVJq7jo	['Comedy', 'Fantasy', 'Horror']
78	11852	tt0037913	Mildred Pierce	My Mother, a Waitress!	1945.0	ozf32hrXGiY	['Crime', 'Drama', 'Film-Noir']
79	25551	tt0120669	Fear and Loathing in Las Vegas	The Hotel on Acid	1998.0	uOmtVFQ3WF8	['Adventure', 'Comedy', 'Drama']
80	16943	tt0416320	Match Point	Scoring a Date	2005.0	jQ903giVNAg	['Drama', 'Romance', 'Thriller']
81	26675	tt0390022	Friday Night Lights	Ivory's Pep Talk	2004.0	8CZ-ICxcEYg	['Action', 'Drama', 'Sport']
82	24661	tt0350258	Ray	A Healing Flashback	2004.0	UOVyhaDQNfw	['Biography', 'Drama', 'Music']
83	7061	tt0974959	American Pie Presents Beta House	Beta House Rules!	2007.0	qtKtxLmxl24	['Comedy']
84	9180	tt0268380	Ice Age	Diego's Sacrifice	2002.0	tQJTJdTM0Wk	['Animation', 'Adventure', 'Comedy']
85	14565	tt0838283	Brothers	He's Dead, Tommy	2009.0	c1nmARXTuvE	['Comedy']
86	13960	tt0091875	Running Scared	Cops vs. Trash Compactor	1986.0	nn-nEk5kpz0	['Action', 'Comedy', 'Crime']
87	24179	tt0384793	Accepted	We Gotta Find a Dean	2006.0	mHJH39bjALk	['Comedy']
88	5504	tt1458175	The Next Three Days	Escape Scene	2010.0	QIIE8CobvEU	['Action', 'Crime', 'Drama']
89	24899	tt0113360	The Hunted	Kirina's Room	1995.0	IptkOvp53-A	['Action', 'Drama', 'Thriller']
90	19936	tt0120737	The Ring	Into the Well	2002.0	OA6wpEFU-uw	['Action', 'Adventure', 'Drama']
91	4299	tt1121096	Seventh Son	Boggart Attack Scene	2014.0	Qzf3SFbaODw	['Action', 'Adventure', 'Fantasy']
92	7123	tt0102744	Quigley Down Under	A Good Shot	1990.0	TTXjgOan_KI	['Action', 'Adventure', 'Drama']
93	4220	tt1204975	Last Vegas	Archie Busts a Move Scene	2013.0	mJ7S9aUZgZA	['Comedy', 'Drama']
94	5704	tt0062765	Bullitt	Hospital Hunt Scene	1968.0	ik-n-L9UNTY	['Action', 'Crime', 'Thriller']
95	15395	tt0110516	Milk Money	Stand by Me	1986.0	-4_rMqeyOJY	['Comedy', 'Romance']
96	25653	tt0036775	Double Indemnity	I Killed Him	1944.0	7vZy9ra8kdM	['Crime', 'Drama', 'Film-Noir']
97	8009	tt1033643	What Happens in Vegas	Wedding Counseling	2008.0	TmdzJyoeQls	['Comedy', 'Romance']
98	3970	tt1568346	The Girl with the Dragon Tattoo	I'd Like to Make a Deposit Scene	2011.0	mCSno4xODKY	['Crime', 'Drama', 'Mystery']
99	9963	tt0333780	Legally Blonde 2	Elle's Surprise Party	2003.0	G4lzPC22k8A	['Comedy']
100	6808	tt0144120	Bride of Chucky	I Always Come Back	1998.0	sggwHnudtH0	['Comedy', 'Horror']
101	18602	tt0377091	Mean Creek	No One Has To Know	2004.0	KvWWoKcefWo	['Crime', 'Drama']
102	1942	tt0094118	Teen Wolf Too	Frog Fight! Scene	1987.0	OflOQW_pkvc	['Comedy', 'Fantasy']
103	25786	tt1174732	An Education	Charming David	2009.0	IsskB0D2GC0	['Drama']
104	23897	tt0021814	Dracula	They're All Crazy	1931.0	665wQwXkq6M	['Fantasy', 'Horror']
105	21104	tt1060277	Cloverfield	Something Else, Also Terrible	2008.0	8c-Na7OHYnI	['Horror', 'Sci-Fi', 'Thriller']
106	7762	tt0110989	Richie Rich	Business School	1994.0	-ZlL0LLfjKY	['Comedy', 'Family']
107	26764	tt0468569	The Dark Knight	Why So Serious?	2008.0	jrIc1SlA7O8	['Action', 'Crime', 'Drama']
108	20926	tt0109444	Clear and Present Danger	Presidential Cover-up	1994.0	i7tGEEWQIhQ	['Action', 'Crime', 'Drama']
109	22898	tt1633356	Shark Night 3D	We're Here!	2011.0	f7q5ce9Jwgw	['Horror', 'Thriller']
110	7782	tt1399103	Transformers: Dark of the Moon	I'm Coming for You!	2011.0	oUleBi3j0o8	['Action', 'Adventure', 'Sci-Fi']
111	18359	tt0163983	Bless the Child	Thou Shalt Not Kill, Especially Without Bullets	2000.0	VyMHLfAg9bI	['Crime', 'Drama', 'Horror']
112	11822	tt0066434	THX 1138	The Confession	1971.0	U0YkPnwoYyE	['Drama', 'Sci-Fi', 'Thriller']
113	20582	tt0114694	Tommy Boy	Cow Tipping	1995.0	ndfLW-xm9Xk	['Adventure', 'Comedy']
114	8555	tt0095690	Mystic Pizza	Porsche Full of Fish	1988.0	ikqDLmNc678	['Comedy', 'Drama', 'Romance']
115	19196	tt0796366	Star Trek	Drill Fight	2009.0	-ArVBL8EgKU	['Action', 'Adventure', 'Sci-Fi']
116	5418	tt0109835	Frank & Jesse	Zee James Scene	1995.0	oLJ7246t3-c	['Biography', 'Western']
117	20876	tt0038650	It's a Wonderful Life	Mary The Old Maid	1946.0	6SLDMMGzkyI	['Drama', 'Family', 'Fantasy']
118	13497	tt0079240	The Great Train Robbery	Throwing Gold From the Train	1978.0	0t1xR1LX5Kg	['Adventure', 'Crime', 'Drama']
119	21264	tt0117381	Fear	The Security Guard Is Shot	1996.0	UI6mgCAcXzc	['Crime', 'Drama', 'Mystery']
120	23539	tt0119395	The Jackal	Target Practice	1997.0	pyXdB_AYiDs	['Action', 'Crime', 'Drama']
121	20987	tt0063374	The Odd Couple	Felix Crying in Bathroom	1968.0	c9xahfssbQg	['Comedy']
122	22002	tt0110588	Mrs. Parker and the Vicious Circle	I Could Kiss You	1994.0	RntgG4p1m8E	['Biography', 'Drama']
123	21004	tt0372588	Team America: World Police	Dicks, Pussies and Assholes	2004.0	32iCWzpDpKs	['Action', 'Comedy']
124	8124	tt0082332	Enter the Ninja	Being Deadly in a Dive Bar Scene	1981.0	eYx5m_iT-1U	['Action', 'Crime', 'Drama']
125	16158	tt0100740	Tales from the Darkside	Mummy Break-In	1990.0	wzYht_EEf0U	['Comedy', 'Fantasy', 'Horror']
126	12935	tt0309912	Nicholas Nickleby	Squeers' School for Boys	2002.0	NgSS_lMllOw	['Adventure', 'Drama', 'Romance']
127	23813	tt0096320	Twins	Oh, Mama!	1988.0	0sNSVtTcxpo	['Comedy', 'Crime']
128	26173	tt0084707	Sophie's Choice	A Flight From Memory	1982.0	Kkh9BnEDT_s	['Drama', 'Romance']
129	12246	tt1245526	Red	Secret Service Shootout	2010.0	FpKhobkTOyY	['Action', 'Comedy', 'Crime']
130	17466	tt0469623	Things We Lost in the Fire	Breathe and Count to Ten	2007.0	VpOmvE4sLUY	['Drama']
131	24114	tt0106677	Dazed and Confused	Gilligan's Island Fantasy	1993.0	MbRhuUtKHV4	['Comedy']
132	26492	tt0023027	Horse Feathers	Advice for Dad	1932.0	PUV_2cqbrbo	['Comedy', 'Musical', 'Romance']
133	20802	tt0126886	Election	Seeing Tracy Again	1999.0	OYt6asKb5bw	['Comedy', 'Drama', 'Romance']
134	13746	tt0071746	Lenny	Strung Out	1974.0	vBhBkvkofjk	['Biography', 'Drama']
135	20240	tt0063522	Rosemary's Baby	They Want My Baby	1968.0	ctrJ0-TLUHQ	['Drama', 'Horror']
136	8198	tt0109370	Canadian Bacon	The Black Guy Always Dies	1995.0	UdZi8K3PLs0	['Comedy']
137	388	tt0092948	Eddie Murphy Raw	I Make Love to You Scene	1987.0	qLFrdv2R8ng	['Documentary', 'Comedy']
138	23953	tt0314331	Love Actually	The Dancing Prime Minister	2003.0	zcgxBHBsl-4	['Comedy', 'Drama', 'Romance']
139	5372	tt1240982	Your Highness	The Blade of Unicorn Scene	2011.0	koWhZSL1Kwo	['Comedy', 'Fantasy']
140	5256	tt0057187	Irma la Douce	Lord X Scene	1963.0	k01VcZkKDME	['Comedy', 'Romance']
141	22560	tt0358135	Shall We Dance	The Cha-Cha Competition	2004.0	NUXt-stAcRw	['Comedy', 'Drama', 'Music']
142	446	tt0418819	Land of the Dead	Undead Vengeance Scene	2005.0	aNA-hjvEyUY	['Horror', 'Sci-Fi', 'Thriller']
143	5338	tt0093693	Overboard	I'm Your Husband Scene	1987.0	YtWJKXNMmhI	['Comedy', 'Romance']
144	1240	tt0095647	Mississippi Burning	Welcome to Mississippi Scene	1988.0	t5nBikdQ1kE	['Crime', 'Drama', 'History']
145	3623	tt0371246	Spanglish	A Crack in the Planet Scene	2004.0	VW_Bmy2Cm2c	['Comedy', 'Drama', 'Romance']
146	3570	tt0243585	Stuart Little 2	Lying for Stuart Scene	2002.0	yYCVu5ZSki0	['Animation', 'Adventure', 'Comedy']
147	24886	tt0078723	1941	Something in the Water	1979.0	-v93NKIFBBw	['Action', 'Comedy', 'War']
148	635	tt1210166	Moneyball	The New Direction Scene	2011.0	AKXKkeLQWac	['Biography', 'Drama', 'Sport']
149	21757	tt0118842	Chasing Amy	F*** Lando Calrissian!	1997.0	l4AmSVb6Hew	['Comedy', 'Drama', 'Romance']
150	10816	tt1023111	Never Back Down	The Final Fight	2008.0	M3byaFhO18Q	['Action', 'Drama', 'Sport']
151	6708	tt0905372	The Thing	Escapes	2011.0	Tb-PscLsY9I	['Horror', 'Mystery', 'Sci-Fi']
152	15136	tt0107206	In the Line of Fire	You're Under Arrest, Too	1993.0	abhF5CFFW4s	['Action', 'Crime', 'Drama']
153	4409	tt0099399	Delta Force 2	Unleashing Delta Force Scene	1990.0	lkT9aqC6Tqw	['Action', 'Adventure', 'Crime']
154	24834	tt0073195	Jaws	Chrissie's Last Swim Scene	1975.0	yrEvK-tv5OI	['Adventure', 'Drama', 'Thriller']
155	7735	tt1571249	The Skeleton Twins	Nothing's Gonna Stop Us Now	2014.0	0npouzhhZTo	['Comedy', 'Drama', 'Romance']
156	6904	tt0093223	House of Games	Mike Teaches About Tells	1987.0	ftNK4JPSoto	['Crime', 'Thriller']
157	18089	tt0102951	Soapdish	Teleprompter Trouble	1991.0	0I7GjbhDYtM	['Comedy', 'Romance']
158	3001	tt0301470	Jeepers Creepers 2	The Students Fight Back	2003.0	EVvEtTyJYCo	['Horror']
159	18820	tt0995039	Ghost Town	Gross Invasion of My Privacy	2008.0	aOAgGeW7abs	['Comedy', 'Drama', 'Fantasy']
160	23536	tt0119395	The Jackal	Kneel Down Declan	1997.0	R1dILTUMJQI	['Action', 'Crime', 'Drama']
161	7122	tt0102744	Quigley Down Under	Meeting Crazy Cora	1990.0	7Lj3LydT1uk	['Action', 'Adventure', 'Drama']
162	26544	tt1231583	Due Date	Traveling with a Child	2010.0	eKJv3dWsZ7E	['Comedy', 'Drama']
163	18869	tt0964517	The Fighter	Look At You	2010.0	wWswgKOqkZM	['Biography', 'Drama', 'Sport']
164	4869	tt0928375	Legend of the Bog	Zombie Bait Scene	2009.0	zjQSWtB7Kp4	['Horror', 'Thriller']
165	9559	tt0099423	Die Hard 2	Military Funeral Scene	1990.0	jZiR9MHumCk	['Action', 'Thriller']
166	5498	tt1155076	The Karate Kid	Great Wall Training	2010.0	qiVy40O1_Lc	['Action', 'Drama', 'Family']
167	24785	tt1216492	Leap Year	He Got You a Suitcase?	2010.0	JxL2yg_bRnQ	['Comedy', 'Romance']
168	21842	tt0134119	The Talented Mr. Ripley	Accidental Murder	1999.0	dQSK2gmtNMI	['Crime', 'Drama', 'Thriller']
169	8420	tt0780622	Teeth	Touched	2007.0	9WQnbIVJZjs	['Comedy', 'Fantasy', 'Horror']
170	7690	tt1229238	Mission: Impossible Ghost Protocol	Get Down Here Scene	2011.0	Ep85AkCkk-U	['Action', 'Adventure', 'Thriller']
171	14073	tt0080895	How to Beat the High Cost	No Money, No Glory	1980.0	x21gkEu5lKc	['Comedy', 'Crime']
172	12836	tt0042208	The Asphalt Jungle	Hoodlums	1950.0	GllksI139DM	['Crime', 'Drama', 'Film-Noir']
173	12430	tt0095953	Rain Man	One Minute to Wapner!	1988.0	Bp9AClR8qCY	['Drama']
174	25633	tt0094138	Three O'Clock High	Jerry's Sexy Book Report	1987.0	BqV0lNOqaPA	['Comedy']
175	2594	tt1291150	Teenage Mutant Ninja Turtles	Snow Mountain Chase Scene	2014.0	-W_4EZvbrEI	['Action', 'Adventure', 'Comedy']
176	14182	tt0438488	Terminator Salvation	T-800 Factory	2009.0	8r354VUktU8	['Action', 'Sci-Fi']
177	6916	tt0085750	Jaws 3D	Swallowed Whole	1983.0	_CWSn-Zdi5w	['Adventure', 'Horror', 'Thriller']
178	18063	tt0085407	The Dead Zone	The Accident	1983.0	P0ePytsVcpI	['Drama', 'Horror', 'Sci-Fi']
179	15358	tt0105414	Single White Female	Don't Make Me Leave You	1992.0	yosiG9eEEHA	['Drama', 'Thriller']
180	265	tt0332375	Saved!	Exorcism By Posse Scene	2004.0	ij0JLKDJOrc	['Comedy', 'Drama']
181	13887	tt0076210	The Island of Dr. Moreau	Escaping the Island	1977.0	nDGZMXNYfF4	['Adventure', 'Fantasy', 'Horror']
182	25735	tt0298203	8 Mile	Rabbit Is Betrayed Scene	2002.0	ByNjiy8-j8g	['Drama', 'Music']
183	23447	tt0317198	Bridget Jones: The Edge of Reason	Turning Down The Job	2004.0	j6oHprwdTeA	['Comedy', 'Drama', 'Romance']
184	19328	tt0070510	Paper Moon	Too Young to Smoke	1973.0	ma_XNn1bwOM	['Comedy', 'Drama']
185	2595	tt1291150	Teenage Mutant Ninja Turtles	April Meets the Turtles Scene	2014.0	OLZhL2R4cfg	['Action', 'Adventure', 'Comedy']
186	5617	tt0104438	Honeymoon in Vegas	Never Get Married Scene	1992.0	IS-TH-YQbL8	['Comedy', 'Romance', 'Thriller']
187	26908	tt0145660	Austin Powers: The Spy Who Shagged Me	The Three-Question Rule	1999.0	z-5iCygFd9M	['Action', 'Adventure', 'Comedy']
188	8392	tt0089200	Ghoulies	in Disguise	1985.0	3T-wqo8lamY	['Comedy', 'Fantasy', 'Horror']
189	21966	tt0184858	Reindeer Games	Monsters in the Gelatin!	2000.0	kghbSGoV1kE	['Action', 'Adventure', 'Crime']
190	17029	tt0073190	Once Is Not Enough	It's Over	1975.0	PiyaX2sq_wk	['Drama', 'Romance']
191	17443	tt0282120	The Wild Thornberrys Movie	Let's Dance	2002.0	WlaQZKko8bk	['Animation', 'Adventure', 'Comedy']
192	3397	tt1385826	The Adjustment Bureau	You Can Change the World Scene	2011.0	lyvAjZw6O_Q	['Romance', 'Sci-Fi', 'Thriller']
193	2898	tt0181739	Osmosis Jones	Careful, I'm Contagious  Scene	2001.0	FnPOuK9RHH0	['Animation', 'Action', 'Adventure']
194	535	tt0114608	Tales From the Crypt: Demon Knight	Monsters in the Mines Scene	1995.0	ewiNzru8Kek	['Action', 'Fantasy', 'Horror']
195	19152	tt0427229	Failure to Launch	Real Feelings	2006.0	Apv7l4b68MQ	['Comedy', 'Romance']
196	14865	tt0101507	Boyz n the Hood	We Got a Problem Here?	1991.0	aCEjVC3Dtn8	['Crime', 'Drama']
197	17031	tt0073190	Once Is Not Enough	Go Faster	1975.0	IpQkAn4FnkY	['Drama', 'Romance']
198	8349	tt1065073	Boyhood	I Just Thought There Would Be More	2014.0	iASBdbiKSHU	['Drama']
199	13373	tt0087727	Missing in Action	Bulletproof Raft	1984.0	2_iIEQ-hlKc	['Action', 'Adventure', 'Drama']
200	12847	tt0078767	The Amityville Horror	Flies Attack Father Delaney	1979.0	adFRKm9ezw4	['Horror']
201	20831	tt0092099	Top Gun	You Can Be My Wingman Anytime	1986.0	9s-a1vp4LLk	['Action', 'Drama']
202	12811	tt0115685	The Birdcage	Val's Getting Married	1996.0	YlAmk5w3qZw	['Comedy']
203	4017	tt0100519	Rosencrantz & Guildenstern Are Dead	Pirates Attack the Ship Scene	1990.0	fxVsGcxK1nc	['Comedy', 'Drama']
204	24123	tt1201167	Funny People	Celebrating George's Recovery	2009.0	YBc362_R2pw	['Comedy', 'Drama']
205	20363	tt0102768	Regarding Henry	Henry Makes Amends	1991.0	FuE5BaM0BdM	['Drama', 'Romance']
206	19911	tt0302886	Old School	We're Going Streaking!	2003.0	20g3QIUnOgY	['Comedy']
207	805	tt1277953	Madagascar 3	King Julien Falls in Love Scene	2012.0	JFAAK6FfOSA	['Animation', 'Adventure', 'Comedy']
208	24215	tt0118715	The Big Lebowski	Is This Your Homework Larry? Scene	-1.0	PztgWdMEJdg	['Comedy', 'Crime', 'Sport']
209	17990	tt0134067	The Rugrats Movie	Reptar on the Loose	1998.0	ZCz2Ob5_-bg	['Animation', 'Adventure', 'Comedy']
210	3134	tt0120094	Selena	Be Who You Are Scene	1997.0	YR4qgOi7VQ0	['Biography', 'Drama', 'Music']
211	18831	tt0486822	Disturbia	Car Accident	2007.0	b9qMqGTi1uc	['Crime', 'Drama', 'Mystery']
212	8463	tt0377471	Be Cool	Twinkle, Twinkle, Baby	2005.0	2_pqFqYME68	['Comedy', 'Crime', 'Drama']
213	9298	tt0051878	The Long, Hot Summer	Get Out of Character	1958.0	7tK-k8UURYk	['Drama']
214	22263	tt0489327	Venus	Three Kisses	2006.0	kuXEfuC92Ag	['Comedy', 'Drama', 'Romance']
215	23622	tt0343135	Along Came Polly	Reuben Proves His Wild Side	2004.0	nWWSMiBag1k	['Comedy', 'Romance']
216	7669	tt0107983	Romeo Is Bleeding	Taking the Toe	1993.0	OE5CnBYFkZA	['Crime', 'Drama', 'Romance']
217	16475	tt0817538	Drillbit Taylor	They Don't Need All This Crap	2008.0	BpnXXI34rSs	['Comedy', 'Drama']
218	25200	tt0070047	The Exorcist	Burke Is Dead	1973.0	C_4mdGA9ehk	['Horror']
219	13459	tt0052564	The Angry Red Planet	Hysterical Female vs. Carnivorous Plant	1959.0	Z-Hye1zg5IU	['Adventure', 'Sci-Fi']
220	4211	tt0114576	Sudden Death	A Toy Flamethrower Scene	1995.0	WksivsiSF_o	['Action', 'Crime', 'Thriller']
221	315	tt0455857	When a Stranger Calls	Death in the Shadows Scene	2006.0	-pKrpqoPu1o	['Horror', 'Thriller']
