	Unnamed: 0.1	Unnamed: 0	imdbid	title	clip_name	year	videoid	genre
26	15244	364	tt0060438	A Funny Thing Happened on the Way to the Forum	The Soothsayer Scene	1966.0	BCC8LOkisAI	['Comedy', 'Musical']
27	10363	13610	tt0054047	The Magnificent Seven	Killing Calvera	1960.0	L9-FR2MUfrU	['Action', 'Adventure', 'Western']
28	13356	18187	tt0066181	On A Clear Day...	What Did I Have That I Don't Have	1970.0	_8s4_Nabo4E	['Comedy', 'Drama', 'Fantasy']
29	9912	6169	tt0800320	Clash of the Titans	Calibos Battle	2010.0	CJBoHk_Ld1g	['Action', 'Adventure', 'Fantasy']
30	13851	14651	tt0119654	Men in Black	Jeebs Loses His Head Scene	1997.0	1FkVXCCfg2A	['Action', 'Adventure', 'Comedy']
31	7979	5970	tt0787470	Balls Out	Paralyzed Penis Scene	-1.0	hkEXnpQ_c5I	['Comedy', 'Sport']
32	9960	572	tt0245429	Spirit	Sound the Bugle Scene	2002.0	futultLrWms	['Animation', 'Adventure', 'Family']
33	8792	26758	tt0468569	The Dark Knight	Two Face	2008.0	dJma8pVAvH4	['Action', 'Crime', 'Drama']
34	8031	15043	tt0139239	Go	Hit and Run	1999.0	sPZUh1YRnDg	['Comedy', 'Crime']
35	10573	595	tt0120587	Antz	Chip and Miffy Scene	1998.0	Sbtm5uE3cCQ	['Animation', 'Adventure', 'Comedy']
36	3677	26574	tt0840361	The Town	How Come You Never Looked For Her?	2010.0	uRxCU1MW8B4	['Crime', 'Drama', 'Thriller']
37	10729	2950	tt0094894	Colors	T-Bone Represents Scene	1988.0	f4wmj-Nq9xA	['Action', 'Crime', 'Drama']
38	14017	2488	tt0048380	Mister Roberts	Making Scotch Scene	1955.0	PTQLBv8sgDI	['Comedy', 'Drama', 'War']
39	16266	21838	tt0160862	She's All That	Supersize My Balls	1999.0	BztqFxMXpTQ	['Comedy', 'Romance']
40	12688	20655	tt0108525	Wayne's World 2	The Same Dream	1993.0	_E62a_RCtX4	['Comedy', 'Music']
41	940	20088	tt0115986	The Crow: City of Angels	A Bad Batch	1996.0	0tN0uV9DebQ	['Action', 'Crime', 'Fantasy']
42	7765	928	tt1321509	Death at a Funeral	The Coffin's Moving!	2010.0	o3aqMjrFf5k	['Comedy']
43	12730	1324	tt1428538	Hansel & Gretel	We'll Eat Youth Scene	2013.0	oY1tp2HG06w	['Action', 'Fantasy', 'Horror']
44	14241	25442	tt0106770	Dragon: The Bruce Lee Story	Showdown at the Ice Factory	1993.0	lGqBJx2xbqQ	['Action', 'Biography', 'Drama']
45	10219	24457	tt0096969	Born on the Fourth of July	A Painful Confession	1989.0	Xk5epHF844w	['Biography', 'Drama', 'War']
46	4358	9016	tt0316732	Taxi	Chase to the Airport Scene	2004.0	zal_hU83ruo	['Action', 'Comedy', 'Crime']
47	3343	10589	tt0089927	Rocky IV	Drago Goes Down	1985.0	bbVqciFRioA	['Drama', 'Sport']
48	13520	4256	tt1092026	Paul	Evolve This Scene	2011.0	dtgOzzBMl2o	['Adventure', 'Comedy', 'Sci-Fi']
49	4450	3030	tt0100232	Navy SEALS	Hawkins Gets His Car Back Scene	1990.0	iRIIcZuSiBo	['Action', 'Adventure', 'Thriller']
50	8633	2389	tt0455944	The Equalizer	Disrespect the Badge Scene	2014.0	TunbuB_bBb8	['Action', 'Crime', 'Thriller']
51	5675	5693	tt0061418	Bonnie and Clyde	I'm An Undertaker Scene	1967.0	IL-_pNnEuk8	['Action', 'Biography', 'Crime']
52	4170	7679	tt1229340	Anchorman 2: The Legend Continues	A Goddess Among Women Scene	-1.0	ZdkOLsRkjBU	['Comedy']
53	5099	12715	tt0070334	The Long Goodbye	Wade's Suicide	1973.0	847dUNGFwsM	['Comedy', 'Crime', 'Drama']
54	7546	761	tt0892791	Shrek Forever After	Fiona, Warrior Princess Scene	2010.0	zkRkL94VQxY	['Animation', 'Adventure', 'Comedy']
55	15148	9115	tt0101889	The Fisher King	The Greatest Thing Since Spice Racks	1991.0	0p9yD4E2hQw	['Comedy', 'Drama', 'Fantasy']
56	6257	8291	tt1155056	I Love You, Man	A Girlfriend Guy	2009.0	sb8IU6c5obc	['Comedy', 'Romance']
57	7418	531	tt0114608	Tales From the Crypt: Demon Knight	I'm Gonna Take Your Heart Scene	1995.0	S3MGT2fahAY	['Action', 'Fantasy', 'Horror']
58	1171	15617	tt0087332	Ghostbusters	We Came, We Saw, We Kicked Its Ass!	1984.0	VWb1z6ZwUoY	['Action', 'Comedy', 'Fantasy']
59	11326	19706	tt0238380	Equilibrium	Sense Offender	2002.0	IBjrQR_1ef8	['Action', 'Drama', 'Sci-Fi']
60	4635	940	tt0168501	The Best Man	Merry Murch Scene	1999.0	cm1NBLlRxy0	['Comedy', 'Drama', 'Romance']
61	3935	4266	tt0102303	Life Stinks	Molly's Nervous Breakdown Scene	1991.0	-YiImyOVCj4	['Comedy']
62	9915	14240	tt0096769	After Midnight	Real Fear	1989.0	vSjkkQ6Bfc4	['Horror', 'Thriller']
63	12448	18044	tt0191133	The Fighting Temptations	Barbershop Quartet	2003.0	UEr47WrS7Ys	['Comedy', 'Drama', 'Music']
64	9584	13941	tt0107863	Posse	Enemy Gold	1993.0	mjo4d488_yE	['Western']
65	14615	6237	tt1234721	RoboCop	I've Been Through A Lot Scene	2014.0	ti9jg0JOK2I	['Action', 'Crime', 'Sci-Fi']
66	3316	26467	tt0206634	Children of Men	It's a Girl	2006.0	XoWvE383hm4	['Drama', 'Thriller']
67	14235	8672	tt1588173	Warm Bodies	I Came to See You	2013.0	fZNPbMu2Ge0	['Comedy', 'Horror', 'Romance']
68	7144	5064	tt0407304	War of the Worlds	Fight on the Hill	2005.0	X7rfWPbEufo	['Adventure', 'Sci-Fi', 'Thriller']
69	2390	14987	tt0181536	Finding Forrester	The Key to Writing	2000.0	zLBEFvMkQCo	['Drama']
70	5856	21977	tt0300051	Jersey Girl	Caught in the Shower	2004.0	8n2vsSHAs0w	['Comedy', 'Drama', 'Romance']
71	8043	18186	tt0066181	On A Clear Day...	Come Back To Me	1970.0	uE_EjcgtiVI	['Comedy', 'Drama', 'Fantasy']
72	2823	763	tt0892791	Shrek Forever After	A Deal with Rumpelstiltskin Scene	2010.0	1IaDQdo8x1I	['Animation', 'Adventure', 'Comedy']
73	16317	1853	tt0351283	Madagascar	I Like to Move It Move It Scene	2005.0	ApuFuuCJc3s	['Animation', 'Adventure', 'Comedy']
74	17047	19479	tt0219653	Dracula 2000	Never F*** With an Antiques Dealer	2000.0	CbMYk-lCKOw	['Action', 'Fantasy', 'Horror']
75	2192	647	tt1230168	Same Kind of Different as Me	Compassion for the Homeless Scene	2017.0	Q4r4jGPegHs	['Biography', 'Drama']
76	2841	6183	tt0120912	Men in Black II	Someone I Need to Eat Scene	-1.0	ZdhqVdIsBSE	['Action', 'Adventure', 'Comedy']
77	11072	18297	tt0050468	Gunfight at the O.K. Corral	The Gunfight Begins	1957.0	aE4h5rX9u3U	['Biography', 'Drama', 'Western']
78	17668	15380	tt0108174	So I Married an Axe Murderer	Woman, Whoaaa Man	1993.0	Qae03boj7lU	['Comedy', 'Romance']
79	16015	13328	tt0094910	The Couch Trip	Bus Therapy	1988.0	Lz3XcjwKGmQ	['Comedy']
80	16915	1076	tt0095497	The Last Temptation of Christ	The Crucifixion Scene	1988.0	LJvCFAHRAFI	['Drama']
81	17187	21411	tt0110907	Ready to Wear	Isabella Faints	1994.0	9KhqPTmsCJU	['Comedy', 'Drama']
82	14825	6906	tt0093300	Jaws: The Revenge	Killing the Beast	1987.0	wrkeOayCv6E	['Adventure', 'Horror', 'Thriller']
83	17244	13693	tt0086567	WarGames	David & Jennifer Kiss	1983.0	k9WhxTOA19s	['Sci-Fi', 'Thriller']
84	17144	15034	tt0097441	Glory	Rawlins Confronts Trip	1989.0	FFWLkCnT50s	['Biography', 'Drama', 'History']
85	16318	20718	tt0049833	The Ten Commandments	Moses is Arrested	1956.0	4cJs-f3NC6s	['Adventure', 'Drama']
86	8559	20334	tt0102517	Necessary Roughness	Andre's a Vegetarian	1991.0	QvfJieP0KVA	['Comedy', 'Sport']
87	14998	12727	tt0165854	The Limey	Over the Ledge	1999.0	sPgl1DyIn3U	['Crime', 'Drama', 'Mystery']
88	2926	9532	tt0357277	Elektra	Ninja Assassin	2005.0	spbfax8dOTk	['Action', 'Adventure', 'Crime']
89	302	8515	tt0327850	The Rundown	The Tooth Fairy	2003.0	qoxMZtAmAiI	['Action', 'Adventure', 'Comedy']
90	13710	20532	tt0090329	Witness	Rachel's Choice	1985.0	nS0fxM7sCHs	['Crime', 'Drama', 'Romance']
91	7570	8680	tt1588173	Warm Bodies	Saved by a Zombie	2013.0	ZD5vHtlpl3Q	['Comedy', 'Horror', 'Romance']
92	13747	7542	tt0238546	Queen of the Damned	So You Want to Be a Vampire	2002.0	kr5skPIftSY	['Drama', 'Fantasy', 'Horror']
93	2179	3391	tt1190080	2012	Rough Landing in Tibet Scene	2009.0	sIDHrcDf-N0	['Action', 'Adventure', 'Sci-Fi']
94	5038	14620	tt1259571	Twilight: New Moon	Motorcycle Lesson	2009.0	pPDz5TWc0Zw	['Adventure', 'Drama', 'Fantasy']
95	14491	17090	tt0180093	Requiem for a Dream	Smart, Loyal and Not a Junkie	2000.0	2BtZY3z72jY	['Drama']
96	7968	24475	tt0457400	Land of the Lost	Chaka	2009.0	0JXwzlRcYWk	['Action', 'Adventure', 'Comedy']
97	13804	24636	tt0098067	Parenthood	Kevin's Game Winning Catch	1989.0	5XW-Nxfx5Nw	['Comedy', 'Drama']
98	2370	98	tt0082782	My Bloody Valentine	The Killer Revealed Scene	1981.0	7H3XPETdtmc	['Horror', 'Mystery', 'Thriller']
99	14808	26925	tt0416449	300	Remember Us Scene	2006.0	nHByIEUb37Y	['Action', 'Drama']
100	15153	2090	tt0078346	Superman	Super Rescue Scene	1978.0	bfKu5Jc8TjA	['Action', 'Adventure', 'Drama']
101	11942	2655	tt1528854	Daddy's Home	Bedtime Stories Scene	2015.0	3OFda9AT-U4	['Comedy', 'Family']
102	12029	14660	tt0119822	As Good as It Gets	We're All Gonna Die Soon	1997.0	8z7YDo44-xE	['Comedy', 'Drama', 'Romance']
103	15530	8936	tt0079574	Moonraker	Bond vs. Jaws	1979.0	2MdAw_f5pAU	['Action', 'Adventure', 'Sci-Fi']
104	7640	15697	tt1132626	Saw 5	A Common Goal of Survival	2008.0	IrptxQD55zY	['Horror', 'Mystery', 'Thriller']
105	13029	3801	tt0089175	Fright Night	Dawn Arrives Scene	1985.0	PvoBUI7uz-w	['Horror', 'Thriller']
106	2111	2921	tt0104107	Diggstown	I'm Stopping the Fight Scene	1992.0	lMiVewLfZKI	['Drama', 'Sport']
107	4999	19985	tt0264464	Catch Me If You Can	Caught in France	2002.0	HYOjY7JJDBI	['Biography', 'Crime', 'Drama']
108	10198	5669	tt0055031	Judgment at Nuremberg	What A Country Stands For Scene	1961.0	TyS98_jQIA0	['Drama', 'War']
109	3924	9245	tt0100403	Predator 2	A Cut Above	1990.0	kyGcsRDBJLM	['Action', 'Horror', 'Sci-Fi']
110	16922	15465	tt0382625	The Da Vinci Code	Priory of Sion	2006.0	HhbADfa8rmY	['Action', 'Mystery', 'Thriller']
111	5065	8260	tt0120184	Sphere	An Alien Named Jerry	1998.0	2GLDqvA6tKI	['Action', 'Mystery', 'Sci-Fi']
112	11800	22405	tt0186975	Down to You	You're My Vice	2000.0	3XPzF1azIkI	['Comedy', 'Drama', 'Romance']
113	7534	16167	tt0408839	The Heartbreak Kid	Singing in the Car	2007.0	CqXatBg5LtE	['Comedy', 'Romance']
114	4367	23543	tt0119395	The Jackal	This is Russia	1997.0	7Vl03BBrGEY	['Action', 'Crime', 'Drama']
115	16104	27019	tt0234215	The Matrix Reloaded	The Burly Brawl	2003.0	GSprkzio_pE	['Action', 'Sci-Fi']
116	4062	20730	tt0092644	Beverly Hills Cop 2	Deep Deep Undercover	1987.0	Oq3cGgqbWG8	['Action', 'Comedy', 'Crime']
117	10207	16171	tt0408839	The Heartbreak Kid	Uncle Tito	2007.0	vrCmp9js4YI	['Comedy', 'Romance']
118	12169	1154	tt0103786	Beethoven	Framing  Scene	1992.0	YG-plVmM7O4	['Comedy', 'Drama', 'Family']
119	6293	353	tt0060429	Frankie and Johnny	Please Don't Stop Loving Me Scene	1966.0	4kIbIjoVakQ	['Comedy', 'Musical', 'Romance']
120	14652	8922	tt0055928	Dr. No	On the Way to a Funeral	1962.0	0u0SEECyGlM	['Action', 'Adventure', 'Thriller']
121	6014	3838	tt0310793	Bowling for Columbine	Militia Babes Scene	2002.0	b4vpGhO2LwA	['Documentary', 'Crime', 'Drama']
122	109	22898	tt1633356	Shark Night 3D	We're Here!	2011.0	f7q5ce9Jwgw	['Horror', 'Thriller']
123	4760	16743	tt0251736	House of 1000 Corpses	Murder Ride	2003.0	Yg95nS9poCw	['Horror']
124	524	15211	tt0097733	Lethal Weapon 2	Leo Getz	1989.0	Zz1Lypwfwug	['Action', 'Crime', 'Thriller']
125	5877	18385	tt0109120	Andre	's a Celebrity	1994.0	T7eWdvyCHyI	['Adventure', 'Drama', 'Family']
126	10589	24178	tt0384793	Accepted	Bartleby Mocks Hoyt	2006.0	-w9kof4SQp4	['Comedy']
127	4074	14569	tt0838283	Brothers	Kill or Be Killed	2009.0	KVy9rgFD5js	['Comedy']
128	4871	11811	tt0366548	Happy Feet	Sliding Down the Ice	2006.0	ymA7OFZ9lF0	['Animation', 'Adventure', 'Comedy']
129	15044	16403	tt0961722	Cabin Fever 2: Spring Fever	Government Takeover	2009.0	B3oSlrpSf8k	['Horror']
130	7063	6333	tt1038686	Legion	I Just Wanna Play With the Baby	2010.0	LFT504CjJFA	['Action', 'Adventure', 'Fantasy']
131	3711	9135	tt1201607	Harry Potter and the Deathly Hallows: Part 2	He Knows We're Hunting Horcruxes	2011.0	cacjl7UwuVU	['Adventure', 'Drama', 'Fantasy']
132	11110	13886	tt0076210	The Island of Dr. Moreau	Opening the Cages	1977.0	hh5iOitreQ8	['Adventure', 'Fantasy', 'Horror']
133	1147	1438	tt0096118	Sleepaway Camp 2: Unhappy Campers	Ally Gets Flushed Scene	1988.0	AaMkmiZ9bMM	['Comedy', 'Horror']
134	12668	4633	tt0119109	Fathers' Day	Parents Screw Up Sometimes Scene	1997.0	qHA5R-Q1Od8	['Comedy', 'Romance']
135	2007	19306	tt0443489	Dreamgirls	Deena's Gonna Sing Lead	2006.0	1mJ49BcUM3E	['Drama', 'Music', 'Musical']
136	11752	7006	tt0781008	American Pie Presents Band Camp	Ruined Routine	2005.0	AFJ_QnfENd4	['Documentary', 'Short', 'Comedy']
137	166	5498	tt1155076	The Karate Kid	Great Wall Training	2010.0	qiVy40O1_Lc	['Action', 'Drama', 'Family']
138	17469	17492	tt0070895	Walking Tall	Road Ambush	1973.0	o-e8eejeHLA	['Action', 'Biography', 'Crime']
139	16466	16081	tt0814075	Deliver Us from Evil	The Letter	2006.0	uvQFoM1fj0E	['Documentary', 'Crime']
140	3315	2922	tt0104107	Diggstown	Flatulence Scene	1992.0	P20hrE8pmoI	['Drama', 'Sport']
141	6637	25508	tt0129290	Patch Adams	Revealing Graduation	1998.0	kx2FhY_akDY	['Biography', 'Comedy', 'Drama']
142	2899	23841	tt0120693	Half Baked	Thurgood Gets Some Medical Marijuana	1998.0	GDHVi3h6ZXw	['Comedy', 'Crime']
143	10069	18362	tt0075765	Black Sunday	The Shadow in the Picture	1977.0	SWjCrhbuvCM	['Adventure', 'Crime', 'Drama']
144	3461	17008	tt0396171	Perfume	An Angel	2006.0	xtz6dAjWz3g	['Crime', 'Drama']
145	15794	24938	tt0099329	Cry-Baby	Turkey Point is Open for Business	1990.0	A4DSD-ZbhoY	['Comedy', 'Musical']
146	2563	3818	tt0172493	Girl, Interrupted	Borderline Scene	1999.0	GEAh4nF90iw	['Biography', 'Drama']
147	5043	11919	tt1136608	District 9	Entering the Alien Ship	2009.0	_U-WwYlinTw	['Action', 'Sci-Fi', 'Thriller']
148	9995	7461	tt0816711	World War Z	Zombie Camouflage	2013.0	PAkRrp46SBE	['Action', 'Adventure', 'Horror']
149	10204	17449	tt0282120	The Wild Thornberrys Movie	Stampede!	2002.0	Kuwa9UzfMGg	['Animation', 'Adventure', 'Comedy']
150	3944	3917	tt0070460	Day for Night	The Wrong Door Scene	1973.0	uFNIrs3jtEQ	['Comedy', 'Drama', 'Romance']
151	10860	22986	tt0138097	Shakespeare in Love	It Is a New World	1998.0	OJZhDHdlk3w	['Comedy', 'Drama', 'History']
152	17038	13652	tt0070915	White Lightning	Gator's Escape	1973.0	cRsKzW5Fszc	['Action', 'Drama', 'Crime']
153	3658	13990	tt0114287	Rob Roy	Robert Teaches a Lesson	1995.0	xR1YEOrYOdw	['Adventure', 'Biography', 'Drama']
154	15284	18820	tt0995039	Ghost Town	Gross Invasion of My Privacy	2008.0	aOAgGeW7abs	['Comedy', 'Drama', 'Fantasy']
155	9023	14141	tt0070379	Mean Streets	Which One Do You Want?	1973.0	OopV0xphrrA	['Crime', 'Drama', 'Thriller']
156	16299	8399	tt0089200	Ghoulies	Summoning the	1985.0	r7J-Qx2InoU	['Comedy', 'Fantasy', 'Horror']
157	5470	17993	tt0062153	The President's Analyst	The Science of Microelectronics	1967.0	BuwF3dRJiS8	['Comedy', 'Sci-Fi', 'Thriller']
158	7768	17480	tt0139699	Varsity Blues	One for Wendell	1999.0	UtRR6sLexR8	['Comedy', 'Drama', 'Romance']
159	14658	25564	tt0110950	Reality Bites	Non-Practicing Virgin	1994.0	YVOKgKYJB2E	['Comedy', 'Drama', 'Romance']
160	9932	19676	tt0080761	Friday the 13th	Killing Mrs. Voorhees	1980.0	36FJgdiYYs4	['Horror', 'Mystery', 'Thriller']
161	15555	18171	tt0250687	Rat Race	Hitler's Car	2001.0	4dsgQb3jkk4	['Adventure', 'Comedy']
162	951	17059	tt0067589	Plaza Suite	That's a Sweet Girl	1971.0	PBF9pOAjXt0	['Comedy', 'Drama', 'Romance']
163	10590	18003	tt0060736	The Naked Prey	Foreign Intruders	1966.0	lk1As4QnaCc	['Adventure', 'Drama', 'Thriller']
164	13646	20062	tt0080339	Airplane!	Don't Call Me Shirley	1980.0	ixljWVyPby0	['Comedy']
165	16845	20112	tt0086465	Trading Places	Haggling at the Pawnshop	1983.0	jLo7tHDHgOc	['Comedy']
166	14736	1857	tt0441773	Kung Fu Panda	Fight for the Dragon Scroll Scene	2008.0	AhbCYVILusc	['Animation', 'Action', 'Adventure']
167	4202	9919	tt0093409	Lethal Weapon	I'm Too Old For This Sh**	1987.0	vcxEgyiu16Q	['Action', 'Crime', 'Thriller']
168	3912	11927	tt1097013	Next Day Air	Don't Fire Me!	2009.0	xdQyp5ewyew	['Action', 'Comedy', 'Crime']
169	7596	10868	tt0465580	Push	Psychic Showdown	2009.0	NNfMLLVwiN0	['Action', 'Sci-Fi', 'Thriller']
170	7311	19113	tt0088930	Clue	For She's a Jolly Good Fellow	1985.0	n3PGfjyctSQ	['Comedy', 'Crime', 'Mystery']
171	13714	17061	tt0078111	Pretty Baby	The Girls at the Lake	1978.0	BvwCwDf6J3w	['Drama']
172	2323	26323	tt1212419	Hereafter	The Experience of Death	2010.0	P4KH_RSZyl8	['Drama', 'Fantasy', 'Romance']
173	14687	23516	tt0078504	The Wiz	I'm a Mean Old Lion	1978.0	WjyJ_ZUEMEw	['Adventure', 'Family', 'Fantasy']
174	8334	13519	tt0100680	Stanley & Iris	Stanley Notices Iris' Sweaters	1990.0	2SnugUXqVJc	['Drama', 'Romance']
175	15392	25093	tt1423894	Barney's Version	The Pause	2010.0	v-tma5YRyGg	['Comedy', 'Drama']
176	8117	1726	tt0061512	Cool Hand Luke	Eating the Eggs Scene	1967.0	k3oMPqUTxCE	['Crime', 'Drama']
177	11538	14902	tt0106673	Dave	I Don't Think You Were Pretending	1993.0	njHGa4f1LwY	['Comedy', 'Romance']
178	3273	10033	tt0080745	Flash Gordon	Hawkmen vs. Ajax	1980.0	Y6B9nkrSuMI	['Action', 'Adventure', 'Sci-Fi']
179	2583	12930	tt0309912	Nicholas Nickleby	One Great Crash	2002.0	ky1semsHhAY	['Adventure', 'Drama', 'Romance']
180	15417	21002	tt0372588	Team America: World Police	Derka Derka	2004.0	DIlG9aSMCpg	['Action', 'Comedy']
181	3623	12998	tt0120744	The Man in the Iron Mask	There Are Riots in Paris	1998.0	h8c0Q6aqZG8	['Action', 'Adventure', 'Drama']
182	4696	6418	tt0837562	Hotel Transylvania	Johnnystein Scene	2012.0	vHBKdIq9RGs	['Animation', 'Comedy', 'Family']
183	11106	2881	tt0891527	Lions for Lambs	"The ""Science"" in Politics Scene"	2007.0	MvRfyxGjA90	['Crime', 'Drama', 'Mystery']
184	4265	13996	tt0122690	Ronin	Sam's Surgery	1998.0	bMDdjhWe9NQ	['Action', 'Crime', 'Thriller']
185	3355	21073	tt0117060	Mission: Impossible	A Mole Hunt Scene	1996.0	KOi9hHjmYq4	['Action', 'Adventure', 'Thriller']
186	8010	24368	tt1226229	Get Him to the Greek	Move to Seattle?	2010.0	6ZcNHOP3wdw	['Comedy', 'Music']
187	13985	25201	tt0070047	The Exorcist	Take Me!	1973.0	Au-u9RWe0Jo	['Horror']
188	2295	8263	tt0120184	Sphere	We're All Gonna Die Down Here	1998.0	KOxmixap5yw	['Action', 'Mystery', 'Sci-Fi']
189	4232	13168	tt1291584	Warrior	Brotherly Love	2011.0	0Qkk8a1IVxQ	['Drama', 'Sport']
190	1399	7728	tt0120800	Quest for Camelot	Defeating Ruber	1998.0	GUWxHgIn91w	['Animation', 'Adventure', 'Comedy']
191	5926	15392	tt0092005	Stand by Me	The Pie-Eating Contest	1986.0	zK0JaEde4VI	['Adventure', 'Drama']
192	4667	4598	tt0288477	Ghost Ship	Sinking the Ship Scene	2002.0	cMmi5sRe8wc	['Horror']
193	5170	17173	tt0094072	Summer School	Ladies Night	1987.0	u0kF24ceZMI	['Comedy', 'Romance']
194	2325	13526	tt0089572	The Mean Season	News Gets Made Somewhere Else	1985.0	KggovdPWfpk	['Crime', 'Thriller']
195	4582	15612	tt0087332	Ghostbusters	The Stay Puft Marshmallow Man	1984.0	7aW8oyTgA60	['Action', 'Comedy', 'Fantasy']
196	2472	5267	tt0094678	Arthur 2: On the Rocks	Thankful for Meatloaf Scene	1988.0	UkIwAAKv_iA	['Comedy', 'Romance']
197	2764	3842	tt0022913	Freaks	It Wasn't Your Fault Scene	1932.0	hqqlSTB5CfU	['Drama']
198	744	20633	tt0158983	South Park: Bigger Longer & Uncut	Dumping Saddam	1999.0	kTk2jXiuo9s	['Animation', 'Comedy', 'Fantasy']
199	3883	26844	tt0139654	Training Day	Jake Pleads For His Life	2001.0	IIjzneqtAZA	['Crime', 'Drama', 'Thriller']
200	10545	19081	tt0065528	Catch-22	I Can Do It	1970.0	UdZuHyttXbw	['Comedy', 'Drama', 'War']
201	15810	8949	tt0477347	Night at the Museum	Slapping the Monkey	2006.0	o2oR9qYeySU	['Adventure', 'Comedy', 'Family']
202	1468	23565	tt0112508	Billy Madison	Billy Pees His Pants	1995.0	JRpouK0KmWQ	['Comedy']
203	6692	572	tt0245429	Spirit	Sound the Bugle Scene	2002.0	futultLrWms	['Animation', 'Adventure', 'Family']
204	14372	10587	tt0089927	Rocky IV	If He Dies, He Dies	1985.0	EiTYwecY41c	['Drama', 'Sport']
205	3701	7601	tt0379786	Serenity	Mal vs. The Operative	2006.0	tBMAuUeeqdE	['Action', 'Adventure', 'Sci-Fi']
206	5874	21802	tt0363226	The Blind Swordsman: Zatoichi	Caught Cheating	2003.0	1UqJgV10-wE	['Action', 'Comedy', 'Crime']
207	145	3623	tt0371246	Spanglish	A Crack in the Planet Scene	2004.0	VW_Bmy2Cm2c	['Comedy', 'Drama', 'Romance']
208	655	3799	tt0089175	Fright Night	Goodbye Neighbor Scene	1985.0	kndeWhsNlJs	['Horror', 'Thriller']
209	1394	26999	tt0031381	Gone with the Wind	Scarlett Meets Rhett	1939.0	lrhNPS4nbmQ	['Drama', 'History', 'Romance']
210	15571	9241	tt0093822	Raising Arizona	Broken Arrows	1987.0	Ypa0vpmCzdc	['Comedy', 'Crime']
