	path	genre	Drama	Act_Adv	Com_Rom	Thr_Hor_Cri
87	frames\Action_Comedy\ioE_djgs810\506.jpg	Act_Adv	0	1	0	0
88	frames\Action_Horror\Ao5TqA-l2cg\736.jpg	Thr_Hor_Cri	0	0	0	1
89	frames\Comedy_Drama\A3xuABrdKis\46.jpg	Com_Rom	0	0	1	0
90	frames\Adventure_Comedy\9L-HJ7BVR6A\1426.jpg	Act_Adv	0	1	0	0
91	frames\Action_Crime\3yqPdLURXjI\2116.jpg	Thr_Hor_Cri	0	0	0	1
92	frames\Romance\S1waPNwf_ns\276.jpg	Com_Rom	0	0	1	0
93	frames\Adventure_Drama\fEcClEBT6QU\3496.jpg	Act_Adv	0	1	0	0
94	frames\Comedy_Drama\ajBHZKoKYbU\1656.jpg	Com_Rom	0	0	1	0
95	frames\Comedy_Drama\pR8Lt5DyU88\2576.jpg	Com_Rom	0	0	1	0
96	frames\Drama_Romance\szLCkEBB6xs\1426.jpg	Com_Rom	0	0	1	0
97	frames\Action_Thriller\XdMuekkeCeU\2116.jpg	Thr_Hor_Cri	0	0	0	1
98	frames\Comedy_Horror\kgfgiLlW-yw\276.jpg	Thr_Hor_Cri	0	0	0	1
99	frames\Drama_Romance\lFHLE24hDQY\1886.jpg	Com_Rom	0	0	1	0
100	frames\Adventure_Comedy\mlHF0Vv7yEc\1196.jpg	Act_Adv	0	1	0	0
101	frames\Drama\jniUBhuJSuw\1656.jpg	Drama	1	0	0	0
102	frames\Adventure_Drama\k-WrZcFJo2k\2116.jpg	Act_Adv	0	1	0	0
103	frames\Adventure_Comedy\P7-rs7H1CAE\46.jpg	Act_Adv	0	1	0	0
104	frames\Drama\9DaWcHIGk7I\736.jpg	Drama	1	0	0	0
105	frames\Thriller\9RRGvAB4HF8\46.jpg	Thr_Hor_Cri	0	0	0	1
106	frames\Drama_Romance\5vZ-SYX-4oY\2116.jpg	Com_Rom	0	0	1	0
107	frames\Drama\TrvXqosqkls\736.jpg	Drama	1	0	0	0
108	frames\Action_Drama\4d9fx7umXgg\46.jpg	Act_Adv	0	1	0	0
109	frames\Action_Comedy\BavTQmiA9mc\1196.jpg	Act_Adv	0	1	0	0
110	frames\Crime_Drama\gRNkQRhMUiE\276.jpg	Thr_Hor_Cri	0	0	0	1
111	frames\Action_Adventure\_JZ7U3FsOJ4\46.jpg	Act_Adv	0	1	0	0
112	frames\Comedy\ozkF8KRjeO8\1656.jpg	Com_Rom	0	0	1	0
113	frames\Adventure\kBErrmmqnkI\1886.jpg	Act_Adv	0	1	0	0
114	frames\Drama_Thriller\7uSz0mEtEsQ\276.jpg	Thr_Hor_Cri	0	0	0	1
115	frames\Adventure_Comedy\vaJ2yQC_ktY\2806.jpg	Act_Adv	0	1	0	0
116	frames\Comedy\YzPOjXIwbu8\736.jpg	Com_Rom	0	0	1	0
117	frames\Drama\guK3fiVFU98\1656.jpg	Drama	1	0	0	0
118	frames\Drama_Romance\NxCa0cVaxQo\506.jpg	Com_Rom	0	0	1	0
119	frames\Action_Adventure\2pVPaPFm5iI\506.jpg	Act_Adv	0	1	0	0
120	frames\Crime_Drama\ozf32hrXGiY\2116.jpg	Thr_Hor_Cri	0	0	0	1
121	frames\Comedy\D1IshjFWDJk\1196.jpg	Com_Rom	0	0	1	0
122	frames\Crime_Horror\VwP_-8SCu5s\2346.jpg	Thr_Hor_Cri	0	0	0	1
123	frames\Comedy_Romance\9fwBPbt95vA\276.jpg	Com_Rom	0	0	1	0
124	frames\Drama\JCKh3Jsge4E\276.jpg	Drama	1	0	0	0
125	frames\Horror\kR3VW07XfUo\506.jpg	Thr_Hor_Cri	0	0	0	1
126	frames\Adventure_Comedy\g0AMLVSBfSs\1426.jpg	Act_Adv	0	1	0	0
127	frames\Comedy\jWyeugspkUA\1426.jpg	Com_Rom	0	0	1	0
128	frames\Adventure\vQLNS3HWfCM\1196.jpg	Act_Adv	0	1	0	0
129	frames\Action\JYVhLnjKKC8\3496.jpg	Act_Adv	0	1	0	0
130	frames\Drama_Romance\bBzNPO001NU\2576.jpg	Com_Rom	0	0	1	0
131	frames\Comedy\delffcg5VZU\2116.jpg	Com_Rom	0	0	1	0
132	frames\Action_Crime\2aN2OU0pk-Q\1886.jpg	Thr_Hor_Cri	0	0	0	1
133	frames\Drama\o9splceYBXQ\1196.jpg	Drama	1	0	0	0
134	frames\Action_Horror\2sX5DMSCipI\1886.jpg	Thr_Hor_Cri	0	0	0	1
135	frames\Adventure_Comedy\f-DgdMpSo7c\506.jpg	Act_Adv	0	1	0	0
136	frames\Action_Adventure\lPOo7SzR7Sc\506.jpg	Act_Adv	0	1	0	0
137	frames\Romance\aqIYxDk4vh8\1656.jpg	Com_Rom	0	0	1	0
138	frames\Action\XAORGJKfEcU\3036.jpg	Act_Adv	0	1	0	0
139	frames\Adventure_Comedy\M1uBjOpTa6Y\276.jpg	Act_Adv	0	1	0	0
140	frames\Adventure_Drama\cLomnZIvoFs\966.jpg	Act_Adv	0	1	0	0
141	frames\Action_Drama\XXk8J83A25A\1656.jpg	Act_Adv	0	1	0	0
142	frames\Action_Adventure\VIJIbL0ujtk\736.jpg	Act_Adv	0	1	0	0
143	frames\Action_Thriller\R-chvFgDLnM\2116.jpg	Thr_Hor_Cri	0	0	0	1
144	frames\Comedy\4G6VXPkfDvo\276.jpg	Com_Rom	0	0	1	0
145	frames\Comedy\C_4LmbuSmpI\736.jpg	Com_Rom	0	0	1	0
146	frames\Action_Comedy\CdppQAIYPzY\736.jpg	Act_Adv	0	1	0	0
147	frames\Crime_Drama\XNZRK35VNrk\736.jpg	Thr_Hor_Cri	0	0	0	1
148	frames\Drama\oCq7TUmVmt8\506.jpg	Drama	1	0	0	0
149	frames\Drama_Thriller\2iWKnf3C8ZY\276.jpg	Thr_Hor_Cri	0	0	0	1
150	frames\Adventure_Comedy\aQqAUXKn7t4\2576.jpg	Act_Adv	0	1	0	0
151	frames\Drama\KJCvbFLtRB0\3266.jpg	Drama	1	0	0	0
152	frames\Comedy_Drama\o_KXbKa2crI\276.jpg	Com_Rom	0	0	1	0
153	frames\Comedy_Horror\03L12Mqkzg8\2576.jpg	Thr_Hor_Cri	0	0	0	1
154	frames\Drama\KQOWuUy-7qE\2576.jpg	Drama	1	0	0	0
155	frames\Comedy_Drama\pxSjP6JkAis\276.jpg	Com_Rom	0	0	1	0
156	frames\Drama\UkH65BsZg_g\1196.jpg	Drama	1	0	0	0
157	frames\Adventure\lVg2pm0YdQ0\46.jpg	Act_Adv	0	1	0	0
158	frames\Drama\1g82D68N-ys\1426.jpg	Drama	1	0	0	0
159	frames\Action_Adventure\2KGv86GLvXo\2346.jpg	Act_Adv	0	1	0	0
160	frames\Horror\iBRhat_CcQM\2806.jpg	Thr_Hor_Cri	0	0	0	1
161	frames\Action_Adventure\ypKY-4583qM\736.jpg	Act_Adv	0	1	0	0
162	frames\Comedy\ZjPPfwVPTDE\276.jpg	Com_Rom	0	0	1	0
163	frames\Romance_Thriller\d6HReoQl6Mo\276.jpg	Thr_Hor_Cri	0	0	0	1
164	frames\Drama_Romance\7qPmEvrv3HQ\736.jpg	Com_Rom	0	0	1	0
165	frames\Comedy\BPUpzQ4vX_o\966.jpg	Com_Rom	0	0	1	0
166	frames\Action_Adventure\AUBx-geW0Tg\1886.jpg	Act_Adv	0	1	0	0
167	frames\Drama\VlGVLpW7Dsw\2116.jpg	Drama	1	0	0	0
168	frames\Horror_Thriller\6esR4uGEFCc\46.jpg	Thr_Hor_Cri	0	0	0	1
169	frames\Horror\upwUN92OAQU\506.jpg	Thr_Hor_Cri	0	0	0	1
170	frames\Comedy\OflOQW_pkvc\1886.jpg	Com_Rom	0	0	1	0
171	frames\Adventure_Drama\H3KbLBwQFW4\1196.jpg	Act_Adv	0	1	0	0
172	frames\Comedy\0oFdsgLP8n8\1426.jpg	Com_Rom	0	0	1	0
173	frames\Action_Adventure\9HGMxZEl60k\1426.jpg	Act_Adv	0	1	0	0
174	frames\Horror\yOWS9e_r5OI\736.jpg	Thr_Hor_Cri	0	0	0	1
175	frames\Adventure_Comedy\qYZw_tL0j9U\966.jpg	Act_Adv	0	1	0	0
176	frames\Action_Thriller\zuSBq10_5go\3726.jpg	Thr_Hor_Cri	0	0	0	1
177	frames\Comedy_Drama\Ky5Y99wb_00\2576.jpg	Com_Rom	0	0	1	0
178	frames\Comedy\hYq75Gm4UdI\1656.jpg	Com_Rom	0	0	1	0
179	frames\Action_Drama\yRlyvNmVWK0\2346.jpg	Act_Adv	0	1	0	0
180	frames\Action_Adventure\SMuET3l5cbc\3956.jpg	Act_Adv	0	1	0	0
181	frames\Horror\tz-XJMspLOA\966.jpg	Thr_Hor_Cri	0	0	0	1
182	frames\Horror\2m_lqGnLtWA\2576.jpg	Thr_Hor_Cri	0	0	0	1
183	frames\Comedy_Crime\gL3mN-UpSyQ\506.jpg	Thr_Hor_Cri	0	0	0	1
184	frames\Horror_Thriller\qqWVQuCaB6Y\966.jpg	Thr_Hor_Cri	0	0	0	1
185	frames\Comedy_Romance\aAkF2Du59Qw\506.jpg	Com_Rom	0	0	1	0
186	frames\Drama\JPtEnl6MpHU\1886.jpg	Drama	1	0	0	0
187	frames\Action_Drama\4HSdmiu24xQ\1656.jpg	Act_Adv	0	1	0	0
188	frames\Action_Thriller\Wl6COOA3V6Y\46.jpg	Thr_Hor_Cri	0	0	0	1
189	frames\Adventure_Comedy\AM5EYO5wWMA\2346.jpg	Act_Adv	0	1	0	0
190	frames\Action_Comedy\lCs7qjJzoDg\2116.jpg	Act_Adv	0	1	0	0
191	frames\Comedy_Crime\BEKzJzaZ0Fk\1886.jpg	Thr_Hor_Cri	0	0	0	1
192	frames\Comedy_Crime\38PbAk_SMdo\1196.jpg	Thr_Hor_Cri	0	0	0	1
193	frames\Drama\1yMhC0o3y_0\506.jpg	Drama	1	0	0	0
194	frames\Comedy\WB9uluVLP9g\506.jpg	Com_Rom	0	0	1	0
195	frames\Crime_Horror\8O06gqOG3fE\46.jpg	Thr_Hor_Cri	0	0	0	1
196	frames\Comedy\k3TpBfnaEmI\46.jpg	Com_Rom	0	0	1	0
197	frames\Comedy_Horror\A_ry95V0zNw\1886.jpg	Thr_Hor_Cri	0	0	0	1
198	frames\Comedy\pnaWqq2eRcc\506.jpg	Com_Rom	0	0	1	0
199	frames\Action\rDGRAHBojWE\736.jpg	Act_Adv	0	1	0	0
200	frames\Adventure_Horror\zeSe5X9ALXg\506.jpg	Thr_Hor_Cri	0	0	0	1
201	frames\Horror\NdYmIIbYoH0\276.jpg	Thr_Hor_Cri	0	0	0	1
202	frames\Drama_Horror\zcZJF81jt4w\1196.jpg	Thr_Hor_Cri	0	0	0	1
203	frames\Action_Drama\AwLRD7iEEKI\2116.jpg	Act_Adv	0	1	0	0
204	frames\Adventure\go4K4rCFjMQ\2576.jpg	Act_Adv	0	1	0	0
205	frames\Action_Adventure\ZEOI34R4iw0\276.jpg	Act_Adv	0	1	0	0
206	frames\Action_Adventure\wFg1qWPryvI\1426.jpg	Act_Adv	0	1	0	0
207	frames\Drama\QJVsS-vIDdc\2576.jpg	Drama	1	0	0	0
208	frames\Drama\3ESS6HqOuoc\2576.jpg	Drama	1	0	0	0
209	frames\Drama_Horror\1Pcd6RZexJI\736.jpg	Thr_Hor_Cri	0	0	0	1
210	frames\Adventure_Comedy\OuQTes47k14\2576.jpg	Act_Adv	0	1	0	0
211	frames\Action_Adventure\Nr6NPOkDbpU\2576.jpg	Act_Adv	0	1	0	0
212	frames\Action_Adventure\MVSH6eiGvSM\1886.jpg	Act_Adv	0	1	0	0
213	frames\Drama\U0FBVju7fVI\3956.jpg	Drama	1	0	0	0
214	frames\Comedy\hWRJQvuhs9w\2116.jpg	Com_Rom	0	0	1	0
215	frames\Horror\ZMURdEkb_3Y\736.jpg	Thr_Hor_Cri	0	0	0	1
216	frames\Drama\X32pSJrgF3Q\1886.jpg	Drama	1	0	0	0
217	frames\Adventure_Comedy\JEsQCm9Q3pk\3036.jpg	Act_Adv	0	1	0	0
218	frames\Adventure\7tXcQ8BBqXs\736.jpg	Act_Adv	0	1	0	0
219	frames\Horror\fuCEfNfuoiM\276.jpg	Thr_Hor_Cri	0	0	0	1
220	frames\Drama_Romance\Sy7YnrVXudg\1426.jpg	Com_Rom	0	0	1	0
221	frames\Drama\NaGkSrOXOp4\276.jpg	Drama	1	0	0	0
222	frames\Comedy\geiS49_p84Q\3036.jpg	Com_Rom	0	0	1	0
223	frames\Crime_Drama\nvdBfpA8r4o\736.jpg	Thr_Hor_Cri	0	0	0	1
224	frames\Adventure_Comedy\7P9EEB9Mr18\2576.jpg	Act_Adv	0	1	0	0
225	frames\Crime_Drama\uzgQ_xwWlkQ\3496.jpg	Thr_Hor_Cri	0	0	0	1
226	frames\Adventure\FeK3AM7NZzQ\1426.jpg	Act_Adv	0	1	0	0
227	frames\Crime_Drama\7eng0FHSiNk\506.jpg	Thr_Hor_Cri	0	0	0	1
228	frames\Adventure_Comedy\iwAciIQDE4A\2116.jpg	Act_Adv	0	1	0	0
229	frames\Comedy_Romance\Ozpkzjl-oCU\276.jpg	Com_Rom	0	0	1	0
230	frames\Adventure_Comedy\kk8MNQHBJkY\2116.jpg	Act_Adv	0	1	0	0
231	frames\Comedy\VXx_DVHO0go\1656.jpg	Com_Rom	0	0	1	0
232	frames\Action_Drama\CkqAe9DL56w\966.jpg	Act_Adv	0	1	0	0
233	frames\Comedy_Drama\qcMHKqF91tM\1426.jpg	Com_Rom	0	0	1	0
234	frames\Drama_Romance\oXMUkgWoMlQ\1656.jpg	Com_Rom	0	0	1	0
235	frames\Comedy\wr5-v7rYg70\736.jpg	Com_Rom	0	0	1	0
236	frames\Horror_Thriller\iSio5xjSYqs\2346.jpg	Thr_Hor_Cri	0	0	0	1
237	frames\Adventure_Comedy\bYO_AhZaG24\2116.jpg	Act_Adv	0	1	0	0
238	frames\Action_Thriller\JmxK_pBaG4E\1968.jpg	Thr_Hor_Cri	0	0	0	1
239	frames\Horror\qj3TqaXp2Mg\2116.jpg	Thr_Hor_Cri	0	0	0	1
240	frames\Action_Thriller\-fvfHqNEmGU\1656.jpg	Thr_Hor_Cri	0	0	0	1
241	frames\Adventure_Comedy\bNbi_KLd_Uk\1656.jpg	Act_Adv	0	1	0	0
242	frames\Comedy\x3jT6tQ_gJk\2346.jpg	Com_Rom	0	0	1	0
243	frames\Drama\jRSw_0zpNE8\506.jpg	Drama	1	0	0	0
244	frames\Adventure_Comedy\TkyLnWm1iCs\1426.jpg	Act_Adv	0	1	0	0
245	frames\Drama\nxdpR5oyCOs\506.jpg	Drama	1	0	0	0
246	frames\Drama\AbRlLFpC34s\3496.jpg	Drama	1	0	0	0
247	frames\Action\JYVhLnjKKC8\46.jpg	Act_Adv	0	1	0	0
248	frames\Action_Comedy\zGIIiQyyuYM\2576.jpg	Act_Adv	0	1	0	0
249	frames\Adventure_Drama\weHHBdmI_Jw\1426.jpg	Act_Adv	0	1	0	0
250	frames\Comedy\XuNDB-xL6uc\736.jpg	Com_Rom	0	0	1	0
251	frames\Drama\FAK7ssvx3oE\46.jpg	Drama	1	0	0	0
252	frames\Drama\edQy5jBxhV8\1426.jpg	Drama	1	0	0	0
253	frames\Comedy_Romance\s6pAWtuEIR8\1196.jpg	Com_Rom	0	0	1	0
254	frames\Action_Adventure\HsRwyJw5o7k\1886.jpg	Act_Adv	0	1	0	0
255	frames\Action_Drama\yw7tuJeWXlA\46.jpg	Act_Adv	0	1	0	0
256	frames\Action\rd8JDPjEoE0\3266.jpg	Act_Adv	0	1	0	0
257	frames\Comedy_Crime\aSwi8mzc1gA\2806.jpg	Thr_Hor_Cri	0	0	0	1
258	frames\Action_Adventure\tWEBbYoDaU8\2576.jpg	Act_Adv	0	1	0	0
259	frames\Comedy\G5_nIhUCuhk\1886.jpg	Com_Rom	0	0	1	0
260	frames\Action\WLE2QEOBde4\46.jpg	Act_Adv	0	1	0	0
261	frames\Action_Adventure\U15kcueM3Og\1886.jpg	Act_Adv	0	1	0	0
262	frames\Action_Comedy\3mw9rXZv4tY\506.jpg	Act_Adv	0	1	0	0
263	frames\Comedy_Drama\HBdaCz2BeoY\46.jpg	Com_Rom	0	0	1	0
264	frames\Action_Adventure\vpir9eGi8Mk\3266.jpg	Act_Adv	0	1	0	0
265	frames\Comedy_Crime\fbwsXqUpZRU\2806.jpg	Thr_Hor_Cri	0	0	0	1
266	frames\Romance_Thriller\R9HPdX0TZAg\736.jpg	Thr_Hor_Cri	0	0	0	1
267	frames\Drama\QPDuZ_Wq7ZA\2576.jpg	Drama	1	0	0	0
268	frames\Action_Crime\_xHw_zAJRDk\1656.jpg	Thr_Hor_Cri	0	0	0	1
269	frames\Comedy_Romance\g9GBuciv20A\1196.jpg	Com_Rom	0	0	1	0
270	frames\Adventure_Comedy\XnfiKz-Zk7Y\2116.jpg	Act_Adv	0	1	0	0
271	frames\Drama\5Ay5GqJwHF8\1426.jpg	Drama	1	0	0	0
272	frames\Thriller\TpGPSRGrL3s\736.jpg	Thr_Hor_Cri	0	0	0	1
273	frames\Action_Crime\rz41nM47q7Y\1886.jpg	Thr_Hor_Cri	0	0	0	1
274	frames\Action_Adventure\TwQ1KE0CRrI\2116.jpg	Act_Adv	0	1	0	0
275	frames\Action_Thriller\VV97_cn54bQ\2116.jpg	Thr_Hor_Cri	0	0	0	1
276	frames\Action\iX23r272kqg\2116.jpg	Act_Adv	0	1	0	0
277	frames\Action_Comedy\GNAJWwqr8cM\276.jpg	Act_Adv	0	1	0	0
278	frames\Thriller\wbwXHxqxDwc\2576.jpg	Thr_Hor_Cri	0	0	0	1
279	frames\Horror\134ua7rOS4g\966.jpg	Thr_Hor_Cri	0	0	0	1
280	frames\Action_Adventure\ILLkD7hTxms\736.jpg	Act_Adv	0	1	0	0
281	frames\Action_Adventure\Xt0Fv0W-CSo\46.jpg	Act_Adv	0	1	0	0
282	frames\Adventure\c_GNsQnPdi4\1886.jpg	Act_Adv	0	1	0	0
283	frames\Action_Crime\ti9jg0JOK2I\1196.jpg	Thr_Hor_Cri	0	0	0	1
284	frames\Comedy\VPXd9ANX3Bw\736.jpg	Com_Rom	0	0	1	0
285	frames\Comedy_Romance\iB25eDhWImc\736.jpg	Com_Rom	0	0	1	0
286	frames\Action_Crime\GlCN1EPAoHI\3036.jpg	Thr_Hor_Cri	0	0	0	1
287	frames\Action_Adventure\u3XXKF0oDtU\736.jpg	Act_Adv	0	1	0	0
288	frames\Adventure_Comedy\QQaLVYSCwrc\1196.jpg	Act_Adv	0	1	0	0
289	frames\Adventure_Drama\w0cXyGVsUjs\1426.jpg	Act_Adv	0	1	0	0
290	frames\Comedy\ewVwSrVSKS4\1886.jpg	Com_Rom	0	0	1	0
291	frames\Action\HKcDfO71N1E\1886.jpg	Act_Adv	0	1	0	0
292	frames\Action_Drama\f_Pc2_cTQnk\46.jpg	Act_Adv	0	1	0	0
293	frames\Comedy_Drama\EOO8TwyVFYI\966.jpg	Com_Rom	0	0	1	0
294	frames\Thriller\zOHL9JZPELk\736.jpg	Thr_Hor_Cri	0	0	0	1
295	frames\Action\q_y1Qe8dyCw\506.jpg	Act_Adv	0	1	0	0
296	frames\Action_Drama\0IyuK069I-w\506.jpg	Act_Adv	0	1	0	0
297	frames\Drama_Romance\K9ITp_xSaxE\1426.jpg	Com_Rom	0	0	1	0
298	frames\Comedy_Romance\OTFCctdiS04\1886.jpg	Com_Rom	0	0	1	0
299	frames\Adventure_Drama\umIBbT6uwZI\736.jpg	Act_Adv	0	1	0	0
